expense,category,amount,currency,date
paid bank charges today,Bills & Payments,22599,PKR,2026-05-28
changed car oil,Transportation,2220,PKR,2026-06-07
played games yesterday,Entertainment,6809,PKR,2026-04-20
paid monthly bill,Bills & Payments,5444,PKR,2026-05-17
bought watch,Shopping,29529,PKR,2026-03-24
bought shampoo,Personal Care,11287,PKR,2026-01-02
bought cleaning supplies today,Home & Rent,60314,PKR,2026-06-27
visited hospital today,Healthcare,7031,PKR,2026-04-09
bought perfume this week,Personal Care,2936,PKR,2026-01-17
bought flour this week,Food & Groceries,7569,PKR,2026-07-06
bought perfume for family,Personal Care,5735,PKR,2026-04-22
paid apartment rent this week,Home & Rent,129497,PKR,2026-04-02
bought shirt yesterday,Shopping,926,PKR,2026-02-28
bought shirt today,Shopping,24354,PKR,2026-01-06
booked bus ticket today,Travel,33286,PKR,2026-04-04
miscellaneous expense yesterday,Other,8481,PKR,2026-07-17
bought perfume,Personal Care,9930,PKR,2026-01-13
paid house rent online,Home & Rent,6175,PKR,2026-01-13
miscellaneous expense yesterday,Other,14659,PKR,2026-04-08
paid utility bill this week,Utilities,16045,PKR,2026-06-29
paid taxi fare online,Transportation,11335,PKR,2026-06-11
bought flour yesterday,Food & Groceries,10940,PKR,2026-01-26
paid maintenance charges this week,Home & Rent,36956,PKR,2026-04-18
paid utility bill online,Utilities,4357,PKR,2026-03-14
paid electricity bill yesterday,Utilities,7009,PKR,2026-06-05
bought handbag for family,Shopping,6908,PKR,2026-04-02
other payment this week,Other,5355,PKR,2026-01-11
visited salon today,Personal Care,11475,PKR,2026-05-04
paid doctor fee,Healthcare,1135,PKR,2026-06-21
paid electricity bill for family,Utilities,16690,PKR,2026-02-08
paid utility bill,Utilities,3819,PKR,2026-08-20
paid school fee yesterday,Education,39300,PKR,2026-03-09
paid credit card bill,Bills & Payments,23398,PKR,2026-08-12
bought flour this week,Food & Groceries,13233,PKR,2026-06-23
bought vitamins online,Healthcare,7895,PKR,2026-01-25
bought groceries today,Food & Groceries,10968,PKR,2026-06-15
paid rickshaw fare this week,Transportation,14755,PKR,2026-04-23
bought train ticket online,Travel,25366,PKR,2026-04-06
paid doctor fee,Healthcare,26565,PKR,2026-04-13
paid bank charges yesterday,Bills & Payments,90926,PKR,2026-08-06
paid monthly bill online,Bills & Payments,22360,PKR,2026-01-29
filled petrol in car today,Transportation,1799,PKR,2026-04-17
paid travel fare for family,Travel,115861,PKR,2026-02-16
paid travel fare this week,Travel,8554,PKR,2026-08-09
home repair online,Home & Rent,35250,PKR,2026-05-04
paid credit card bill yesterday,Bills & Payments,58261,PKR,2026-01-12
paid water bill online,Utilities,10796,PKR,2026-01-04
miscellaneous purchase online,Other,18995,PKR,2026-07-05
booked flight online,Travel,89683,PKR,2026-05-13
bought personal care items online,Personal Care,10329,PKR,2026-01-25
played games online,Entertainment,4272,PKR,2026-05-04
dental checkup online,Healthcare,42335,PKR,2026-04-09
filled petrol in car,Transportation,10641,PKR,2026-02-10
visited salon yesterday,Personal Care,14444,PKR,2026-02-12
paid internet bill this week,Utilities,8393,PKR,2026-03-26
paid university fee for family,Education,29690,PKR,2026-05-21
bought home appliances yesterday,Home & Rent,62603,PKR,2026-01-21
paid monthly bill for family,Bills & Payments,59233,PKR,2026-01-23
paid monthly bill this week,Bills & Payments,16059,PKR,2026-05-08
miscellaneous expense,Other,13319,PKR,2026-04-16
bought groceries,Food & Groceries,13072,PKR,2026-06-04
paid hotel bill this week,Travel,134257,PKR,2026-05-24
bought accessories this week,Shopping,12206,PKR,2026-07-31
bought chicken yesterday,Food & Groceries,5539,PKR,2026-05-24
booked bus ticket yesterday,Travel,96235,PKR,2026-07-03
paid credit card bill,Bills & Payments,86864,PKR,2026-02-26
restaurant dinner this week,Food & Groceries,13696,PKR,2026-06-12
paid course fee online,Education,14435,PKR,2026-01-12
changed car oil today,Transportation,13565,PKR,2026-07-03
other payment,Other,8432,PKR,2026-06-06
bought trousers,Shopping,28224,PKR,2026-04-11
bought accessories today,Shopping,23787,PKR,2026-03-28
paid internet bill,Utilities,19794,PKR,2026-02-01
paid monthly bill online,Bills & Payments,77742,PKR,2026-05-10
changed car oil,Transportation,8789,PKR,2026-07-08
ordered food for family,Food & Groceries,8012,PKR,2026-05-11
paid bus fare online,Transportation,13456,PKR,2026-02-02
paid internet bill online,Utilities,11046,PKR,2026-05-10
went to amusement park for family,Entertainment,11546,PKR,2026-07-15
bought handbag yesterday,Shopping,11534,PKR,2026-03-17
paid loan installment today,Bills & Payments,54599,PKR,2026-06-04
miscellaneous purchase this week,Other,18050,PKR,2026-08-09
dental checkup online,Healthcare,36579,PKR,2026-06-11
bought trousers today,Shopping,20752,PKR,2026-07-02
paid course fee online,Education,17889,PKR,2026-07-01
paid apartment rent for family,Home & Rent,143210,PKR,2026-06-27
bought furniture online,Home & Rent,31252,PKR,2026-07-14
paid medical bill yesterday,Healthcare,38494,PKR,2026-05-27
bought cleaning supplies yesterday,Home & Rent,140959,PKR,2026-03-15
paid gaming subscription,Entertainment,8764,PKR,2026-01-28
pizza for dinner today,Food & Groceries,969,PKR,2026-06-21
bought eggs this week,Food & Groceries,12391,PKR,2026-07-21
booked ride online,Transportation,4205,PKR,2026-02-07
bought flour today,Food & Groceries,12446,PKR,2026-05-19
restaurant lunch yesterday,Food & Groceries,1779,PKR,2026-06-07
bought cleaning supplies for family,Home & Rent,59800,PKR,2026-07-10
paid maintenance charges yesterday,Home & Rent,63284,PKR,2026-05-11
general expense online,Other,1639,PKR,2026-04-08
went to amusement park online,Entertainment,5322,PKR,2026-05-22
bought groceries online,Food & Groceries,4217,PKR,2026-02-21
travel expenses yesterday,Travel,60126,PKR,2026-06-12
general expense for family,Other,18011,PKR,2026-07-09
booked flight online,Travel,51724,PKR,2026-03-17
paid loan installment online,Bills & Payments,10260,PKR,2026-02-17
filled fuel yesterday,Transportation,765,PKR,2026-04-20
bought notebooks today,Education,21593,PKR,2026-05-30
paid university fee this week,Education,61622,PKR,2026-07-01
filled petrol in car today,Transportation,5385,PKR,2026-06-02
bought flour yesterday,Food & Groceries,13041,PKR,2026-05-27
bought skincare products,Personal Care,13045,PKR,2026-07-01
paid medical bill today,Healthcare,12350,PKR,2026-05-14
paid utility bill today,Utilities,14129,PKR,2026-05-20
visited salon,Personal Care,5924,PKR,2026-02-26
bought watch this week,Shopping,12122,PKR,2026-03-17
online shopping for family,Shopping,15860,PKR,2026-05-24
paid house rent,Home & Rent,91703,PKR,2026-04-25
online shopping for family,Shopping,8289,PKR,2026-01-11
bought furniture yesterday,Home & Rent,30720,PKR,2026-04-09
bought notebooks,Education,68246,PKR,2026-07-30
paid medical bill for family,Healthcare,29500,PKR,2026-05-05
bought flour online,Food & Groceries,3254,PKR,2026-03-24
haircut,Personal Care,2942,PKR,2026-07-17
bought perfume,Personal Care,10471,PKR,2026-01-17
bought trousers online,Shopping,14200,PKR,2026-08-02
paid gas bill for family,Utilities,14761,PKR,2026-06-15
paid mobile bill online,Utilities,5538,PKR,2026-01-07
paid online bill this week,Bills & Payments,5465,PKR,2026-01-23
paid electricity bill today,Utilities,8754,PKR,2026-05-23
paid utility bill today,Utilities,8975,PKR,2026-04-15
went to amusement park online,Entertainment,6826,PKR,2026-04-21
bought medicine yesterday,Healthcare,44425,PKR,2026-01-31
haircut online,Personal Care,12001,PKR,2026-06-08
paid mobile bill for family,Utilities,1991,PKR,2026-06-29
paid water bill for family,Utilities,3977,PKR,2026-03-16
bought furniture for family,Home & Rent,23676,PKR,2026-03-14
paid monthly bill yesterday,Bills & Payments,87102,PKR,2026-01-08
paid loan installment for family,Bills & Payments,29318,PKR,2026-02-04
other payment for family,Other,9765,PKR,2026-06-12
booked ride online,Transportation,14632,PKR,2026-07-23
general expense,Other,18237,PKR,2026-08-12
bought shampoo,Personal Care,884,PKR,2026-01-02
booked bus ticket yesterday,Travel,141811,PKR,2026-05-21
paid water bill today,Utilities,11767,PKR,2026-02-24
played games for family,Entertainment,2533,PKR,2026-02-11
paid taxi fare for family,Transportation,13776,PKR,2026-03-06
bought clothes today,Shopping,22286,PKR,2026-07-24
travel expenses,Travel,144878,PKR,2026-04-29
paid maintenance charges,Home & Rent,77192,PKR,2026-06-21
paid water bill,Utilities,6968,PKR,2026-07-05
paid travel fare this week,Travel,94621,PKR,2026-02-02
bought cleaning supplies today,Home & Rent,27226,PKR,2026-03-14
booked hotel today,Travel,84305,PKR,2026-05-05
paid bank charges for family,Bills & Payments,86931,PKR,2026-03-20
miscellaneous purchase today,Other,18632,PKR,2026-05-26
bought prescription medicine this week,Healthcare,28369,PKR,2026-02-13
restaurant dinner today,Food & Groceries,12972,PKR,2026-02-26
other payment this week,Other,11879,PKR,2026-02-04
bought cleaning supplies this week,Home & Rent,126817,PKR,2026-04-29
paid bank charges this week,Bills & Payments,64328,PKR,2026-05-22
paid gas bill online,Utilities,3186,PKR,2026-08-04
bought stationery for family,Education,26246,PKR,2026-03-09
miscellaneous expense online,Other,2570,PKR,2026-08-17
bought groceries for family,Food & Groceries,9584,PKR,2026-04-14
booked flight,Travel,145597,PKR,2026-03-08
bought perfume yesterday,Personal Care,10913,PKR,2026-07-18
paid rickshaw fare yesterday,Transportation,3758,PKR,2026-08-17
paid hotel bill this week,Travel,36096,PKR,2026-04-29
bought perfume,Personal Care,6700,PKR,2026-04-04
haircut online,Personal Care,4113,PKR,2026-08-06
paid hotel bill today,Travel,135777,PKR,2026-02-05
paid loan installment today,Bills & Payments,74733,PKR,2026-05-25
home repair today,Home & Rent,127747,PKR,2026-04-02
bought chicken yesterday,Food & Groceries,3896,PKR,2026-01-17
paid course fee today,Education,6110,PKR,2026-06-21
bought household items this week,Shopping,13017,PKR,2026-05-01
paid credit card bill,Bills & Payments,85503,PKR,2026-03-24
paid mobile bill for family,Utilities,9461,PKR,2026-08-02
general expense for family,Other,17937,PKR,2026-05-26
car maintenance online,Transportation,6301,PKR,2026-04-04
paid hotel bill,Travel,136440,PKR,2026-03-06
bought movie ticket for family,Entertainment,6849,PKR,2026-04-01
bought vitamins yesterday,Healthcare,39897,PKR,2026-01-02
bought shampoo yesterday,Personal Care,2913,PKR,2026-02-28
paid utility bill online,Utilities,9701,PKR,2026-02-24
paid bus fare today,Transportation,6034,PKR,2026-06-04
miscellaneous expense online,Other,7647,PKR,2026-04-17
dental checkup,Healthcare,31856,PKR,2026-06-22
paid monthly bill today,Bills & Payments,77936,PKR,2026-02-11
home repair yesterday,Home & Rent,6884,PKR,2026-03-04
bought milk for family,Food & Groceries,9805,PKR,2026-02-11
filled petrol in car for family,Transportation,2506,PKR,2026-01-15
booked ride today,Transportation,8564,PKR,2026-04-14
booked bus ticket online,Travel,5881,PKR,2026-08-13
general expense,Other,7197,PKR,2026-04-25
paid travel fare yesterday,Travel,45713,PKR,2026-02-26
bought concert ticket today,Entertainment,13218,PKR,2026-05-30
booked ride today,Transportation,11965,PKR,2026-06-25
bought vitamins for family,Healthcare,39005,PKR,2026-01-18
bought cosmetics yesterday,Shopping,4632,PKR,2026-01-28
bought eggs for family,Food & Groceries,14183,PKR,2026-05-10
bought home appliances today,Home & Rent,26244,PKR,2026-02-15
paid service fee for family,Bills & Payments,5616,PKR,2026-08-13
bought perfume,Personal Care,1726,PKR,2026-05-04
paid apartment rent for family,Home & Rent,142370,PKR,2026-07-31
ordered food for family,Food & Groceries,6992,PKR,2026-04-05
ordered food today,Food & Groceries,13244,PKR,2026-05-04
paid streaming subscription for family,Entertainment,13382,PKR,2026-07-09
miscellaneous purchase,Other,14042,PKR,2026-02-04
paid exam fee today,Education,11486,PKR,2026-03-14
booked bus ticket yesterday,Travel,68582,PKR,2026-02-18
bought groceries for family,Food & Groceries,8661,PKR,2026-01-31
haircut yesterday,Personal Care,10924,PKR,2026-02-22
general expense yesterday,Other,11970,PKR,2026-01-28
car maintenance online,Transportation,9690,PKR,2026-03-06
bought educational material for family,Education,48425,PKR,2026-06-06
bought educational material today,Education,54662,PKR,2026-05-22
visited salon today,Personal Care,6265,PKR,2026-05-24
visited salon this week,Personal Care,5224,PKR,2026-05-28
bought prescription medicine online,Healthcare,26391,PKR,2026-07-08
filled fuel online,Transportation,3864,PKR,2026-04-25
paid miscellaneous charges,Other,7127,PKR,2026-05-11
paid gaming subscription this week,Entertainment,13321,PKR,2026-05-21
paid hotel bill online,Travel,14645,PKR,2026-02-11
played games,Entertainment,13378,PKR,2026-01-24
changed car oil for family,Transportation,7233,PKR,2026-01-23
paid water bill today,Utilities,12651,PKR,2026-01-21
booked hotel online,Travel,101748,PKR,2026-04-13
paid hotel bill for family,Travel,76096,PKR,2026-07-02
booked hotel today,Travel,130595,PKR,2026-04-23
bought eggs online,Food & Groceries,13271,PKR,2026-05-13
paid school fee,Education,79079,PKR,2026-05-11
bought personal care items today,Personal Care,10279,PKR,2026-02-13
paid house rent this week,Home & Rent,63719,PKR,2026-06-17
bought bread,Food & Groceries,4620,PKR,2026-07-19
paid streaming subscription online,Entertainment,6674,PKR,2026-04-14
booked flight for family,Travel,5028,PKR,2026-07-08
miscellaneous expense,Other,18109,PKR,2026-03-14
miscellaneous purchase for family,Other,11506,PKR,2026-03-30
paid school fee for family,Education,25996,PKR,2026-04-27
bought concert ticket,Entertainment,4477,PKR,2026-02-14
bought concert ticket,Entertainment,9352,PKR,2026-01-19
bought skincare products this week,Personal Care,2117,PKR,2026-07-25
bought skincare products for family,Personal Care,13522,PKR,2026-07-23
bought train ticket online,Travel,117069,PKR,2026-04-07
paid travel fare today,Travel,90040,PKR,2026-07-18
paid online bill yesterday,Bills & Payments,77416,PKR,2026-08-09
bought cooking oil,Food & Groceries,4324,PKR,2026-01-18
played games today,Entertainment,11290,PKR,2026-06-29
bought watch yesterday,Shopping,11870,PKR,2026-05-13
haircut online,Personal Care,13834,PKR,2026-03-09
bought handbag,Shopping,13372,PKR,2026-06-22
general expense,Other,18271,PKR,2026-02-15
paid bank charges this week,Bills & Payments,29147,PKR,2026-08-17
bought train ticket today,Travel,50851,PKR,2026-05-08
paid miscellaneous charges today,Other,8031,PKR,2026-08-12
paid school fee today,Education,27077,PKR,2026-08-02
online shopping this week,Shopping,5411,PKR,2026-07-19
paid electricity bill,Utilities,16643,PKR,2026-06-07
grocery shopping yesterday,Food & Groceries,6181,PKR,2026-06-08
bought vitamins for family,Healthcare,18304,PKR,2026-05-06
booked ride yesterday,Transportation,3738,PKR,2026-07-12
booked flight,Travel,138818,PKR,2026-07-24
went to amusement park for family,Entertainment,733,PKR,2026-05-09
bought vitamins online,Healthcare,11755,PKR,2026-04-28
paid mobile bill for family,Utilities,15575,PKR,2026-03-22
miscellaneous expense,Other,7005,PKR,2026-04-08
booked hotel this week,Travel,95791,PKR,2026-06-06
bought stationery for family,Education,34952,PKR,2026-03-02
paid exam fee for family,Education,45470,PKR,2026-04-04
changed car oil yesterday,Transportation,3549,PKR,2026-04-18
general expense this week,Other,13226,PKR,2026-03-13
paid loan installment for family,Bills & Payments,17688,PKR,2026-05-28
paid apartment rent,Home & Rent,71765,PKR,2026-07-25
bought household items yesterday,Shopping,28359,PKR,2026-04-08
bought shirt online,Shopping,5200,PKR,2026-05-02
bought bread yesterday,Food & Groceries,8285,PKR,2026-02-04
paid maintenance charges for family,Home & Rent,83766,PKR,2026-07-21
paid bank charges this week,Bills & Payments,74180,PKR,2026-08-08
booked hotel yesterday,Travel,26945,PKR,2026-06-26
filled petrol in car today,Transportation,13433,PKR,2026-03-07
paid online bill,Bills & Payments,59463,PKR,2026-07-10
visited hospital this week,Healthcare,23913,PKR,2026-05-24
bought skincare products this week,Personal Care,524,PKR,2026-04-16
paid water bill online,Utilities,7019,PKR,2026-05-28
paid hotel bill online,Travel,142148,PKR,2026-02-14
paid course fee this week,Education,88736,PKR,2026-05-11
paid online bill yesterday,Bills & Payments,10777,PKR,2026-04-08
bought train ticket yesterday,Travel,38971,PKR,2026-08-11
paid rickshaw fare yesterday,Transportation,10442,PKR,2026-06-06
paid travel fare,Travel,21738,PKR,2026-02-11
paid doctor fee this week,Healthcare,21066,PKR,2026-06-17
bought notebooks for family,Education,84994,PKR,2026-04-12
paid exam fee this week,Education,98528,PKR,2026-05-31
visited salon yesterday,Personal Care,2941,PKR,2026-02-17
bought milk online,Food & Groceries,3944,PKR,2026-06-19
bought books today,Education,22377,PKR,2026-04-12
paid electricity bill,Utilities,16005,PKR,2026-05-21
bought groceries yesterday,Food & Groceries,8684,PKR,2026-07-15
paid electricity bill this week,Utilities,5588,PKR,2026-01-22
bought home appliances this week,Home & Rent,61124,PKR,2026-03-05
general expense yesterday,Other,4242,PKR,2026-02-03
bought shampoo,Personal Care,775,PKR,2026-06-19
bought prescription medicine this week,Healthcare,31505,PKR,2026-04-30
bought skincare products for family,Personal Care,7488,PKR,2026-02-04
miscellaneous purchase today,Other,19460,PKR,2026-06-02
paid online bill online,Bills & Payments,83842,PKR,2026-08-13
paid travel fare for family,Travel,140928,PKR,2026-03-21
bought vitamins for family,Healthcare,15185,PKR,2026-07-26
paid internet bill this week,Utilities,12485,PKR,2026-04-16
bought stationery this week,Education,1883,PKR,2026-01-01
bought shampoo this week,Personal Care,4898,PKR,2026-05-01
haircut online,Personal Care,8259,PKR,2026-07-13
paid bank charges,Bills & Payments,56918,PKR,2026-07-24
paid school fee,Education,72355,PKR,2026-04-06
bought cosmetics for family,Shopping,14623,PKR,2026-04-12
bought shirt online,Shopping,24453,PKR,2026-06-15
paid gaming subscription yesterday,Entertainment,3814,PKR,2026-03-09
paid internet bill online,Utilities,8349,PKR,2026-05-13
travel expenses online,Travel,72267,PKR,2026-03-14
bought cleaning supplies for family,Home & Rent,71470,PKR,2026-04-16
bought clothes today,Shopping,4776,PKR,2026-03-16
paid mobile bill yesterday,Utilities,15336,PKR,2026-03-11
miscellaneous purchase yesterday,Other,6253,PKR,2026-03-24
bought milk,Food & Groceries,8864,PKR,2026-01-06
filled fuel this week,Transportation,4510,PKR,2026-02-02
other payment online,Other,368,PKR,2026-03-01
paid gas bill,Utilities,16673,PKR,2026-02-25
bought vitamins this week,Healthcare,32962,PKR,2026-04-06
paid online bill,Bills & Payments,43786,PKR,2026-01-21
filled petrol in car this week,Transportation,12808,PKR,2026-04-11
paid utility bill yesterday,Utilities,6450,PKR,2026-02-19
bought educational material,Education,16485,PKR,2026-07-16
paid miscellaneous charges yesterday,Other,14614,PKR,2026-03-05
miscellaneous expense today,Other,15200,PKR,2026-07-08
paid utility bill online,Utilities,7330,PKR,2026-05-02
played games this week,Entertainment,5493,PKR,2026-02-10
bought cleaning supplies,Home & Rent,145069,PKR,2026-05-14
paid water bill yesterday,Utilities,10291,PKR,2026-02-20
bought medicine online,Healthcare,14572,PKR,2026-01-29
bought cosmetics this week,Shopping,793,PKR,2026-02-12
bought books yesterday,Education,32362,PKR,2026-01-03
bought cooking oil online,Food & Groceries,9868,PKR,2026-02-09
bought prescription medicine,Healthcare,16600,PKR,2026-02-10
paid credit card bill online,Bills & Payments,81587,PKR,2026-03-28
paid house rent,Home & Rent,94196,PKR,2026-06-15
filled fuel today,Transportation,8092,PKR,2026-03-01
paid medical bill online,Healthcare,49890,PKR,2026-03-30
paid online bill today,Bills & Payments,3298,PKR,2026-06-26
paid streaming subscription online,Entertainment,2407,PKR,2026-03-06
bought cooking oil online,Food & Groceries,7268,PKR,2026-05-24
paid exam fee today,Education,74778,PKR,2026-02-17
bought skincare products this week,Personal Care,12199,PKR,2026-04-30
bought stationery,Education,70117,PKR,2026-02-09
paid bank charges this week,Bills & Payments,71489,PKR,2026-04-04
paid credit card bill online,Bills & Payments,66816,PKR,2026-04-08
paid miscellaneous charges,Other,12030,PKR,2026-07-18
booked flight this week,Travel,17604,PKR,2026-06-18
visited salon today,Personal Care,8786,PKR,2026-06-24
paid service fee today,Bills & Payments,80852,PKR,2026-03-14
bought vitamins online,Healthcare,21404,PKR,2026-01-29
paid utility bill online,Utilities,2684,PKR,2026-01-12
paid bus fare,Transportation,3410,PKR,2026-01-28
paid loan installment,Bills & Payments,4670,PKR,2026-05-27
home repair yesterday,Home & Rent,129426,PKR,2026-05-15
paid hotel bill for family,Travel,68092,PKR,2026-01-13
paid doctor fee for family,Healthcare,47344,PKR,2026-01-19
bought eggs online,Food & Groceries,8151,PKR,2026-08-16
paid internet bill online,Utilities,2489,PKR,2026-04-03
bought personal care items yesterday,Personal Care,13668,PKR,2026-04-05
miscellaneous expense for family,Other,8810,PKR,2026-05-16
bought vegetables this week,Food & Groceries,1376,PKR,2026-02-25
haircut,Personal Care,12081,PKR,2026-03-01
visited salon today,Personal Care,3364,PKR,2026-05-15
paid apartment rent for family,Home & Rent,47897,PKR,2026-05-23
miscellaneous purchase yesterday,Other,3557,PKR,2026-07-16
paid maintenance charges this week,Home & Rent,121250,PKR,2026-06-29
bought home appliances,Home & Rent,44728,PKR,2026-07-22
car maintenance for family,Transportation,5629,PKR,2026-06-18
changed car oil this week,Transportation,14886,PKR,2026-03-22
bought skincare products this week,Personal Care,6955,PKR,2026-07-15
bought home appliances online,Home & Rent,85790,PKR,2026-06-05
online shopping for family,Shopping,7309,PKR,2026-04-07
bought personal care items this week,Personal Care,6098,PKR,2026-04-26
paid monthly bill,Bills & Payments,95699,PKR,2026-01-09
paid university fee for family,Education,18205,PKR,2026-08-16
paid university fee this week,Education,29583,PKR,2026-02-24
bought medicine online,Healthcare,18385,PKR,2026-05-22
bought perfume for family,Personal Care,9565,PKR,2026-02-09
paid electricity bill yesterday,Utilities,12154,PKR,2026-02-09
booked ride this week,Transportation,14675,PKR,2026-05-30
bought trousers this week,Shopping,26877,PKR,2026-03-18
paid utility bill yesterday,Utilities,19147,PKR,2026-02-25
miscellaneous expense online,Other,10739,PKR,2026-07-22
paid loan installment yesterday,Bills & Payments,90886,PKR,2026-06-29
travel expenses,Travel,79746,PKR,2026-01-10
miscellaneous purchase yesterday,Other,2671,PKR,2026-07-19
restaurant dinner this week,Food & Groceries,14514,PKR,2026-07-29
went to amusement park,Entertainment,14450,PKR,2026-07-17
online shopping,Shopping,21071,PKR,2026-07-19
bought home appliances,Home & Rent,80897,PKR,2026-05-15
restaurant dinner for family,Food & Groceries,9355,PKR,2026-02-08
paid medical bill online,Healthcare,14770,PKR,2026-02-09
pizza for dinner yesterday,Food & Groceries,12434,PKR,2026-06-02
booked bus ticket,Travel,59218,PKR,2026-04-21
bought educational material today,Education,17826,PKR,2026-03-28
paid internet bill for family,Utilities,2115,PKR,2026-05-21
paid streaming subscription,Entertainment,6729,PKR,2026-05-09
paid gaming subscription online,Entertainment,2336,PKR,2026-07-15
changed car oil for family,Transportation,3345,PKR,2026-05-05
played games for family,Entertainment,3412,PKR,2026-05-24
paid hotel bill for family,Travel,65551,PKR,2026-03-04
paid water bill yesterday,Utilities,11097,PKR,2026-06-25
booked hotel,Travel,109418,PKR,2026-04-19
visited hospital today,Healthcare,21319,PKR,2026-03-30
paid hotel bill,Travel,80906,PKR,2026-02-13
paid medical bill yesterday,Healthcare,41140,PKR,2026-02-07
paid credit card bill today,Bills & Payments,26673,PKR,2026-06-25
paid doctor fee online,Healthcare,5923,PKR,2026-01-29
miscellaneous expense today,Other,4939,PKR,2026-08-11
paid university fee this week,Education,91437,PKR,2026-07-25
paid water bill yesterday,Utilities,15939,PKR,2026-01-06
paid doctor fee online,Healthcare,35558,PKR,2026-02-24
bought household items for family,Shopping,24887,PKR,2026-03-08
visited salon for family,Personal Care,12159,PKR,2026-02-06
miscellaneous expense yesterday,Other,19203,PKR,2026-08-20
paid maintenance charges,Home & Rent,67966,PKR,2026-02-13
bought flour today,Food & Groceries,13030,PKR,2026-06-28
bought train ticket,Travel,122886,PKR,2026-06-17
bought vegetables yesterday,Food & Groceries,10919,PKR,2026-03-11
home repair online,Home & Rent,95429,PKR,2026-08-10
paid electricity bill this week,Utilities,13165,PKR,2026-03-01
bought concert ticket online,Entertainment,1831,PKR,2026-08-20
bought vitamins for family,Healthcare,35136,PKR,2026-01-23
paid taxi fare for family,Transportation,7603,PKR,2026-05-24
miscellaneous expense,Other,8206,PKR,2026-05-16
paid course fee yesterday,Education,52063,PKR,2026-07-10
filled petrol in car this week,Transportation,11311,PKR,2026-04-01
dental checkup this week,Healthcare,15779,PKR,2026-05-09
paid university fee online,Education,34274,PKR,2026-08-13
paid gaming subscription,Entertainment,9292,PKR,2026-03-13
bought shirt this week,Shopping,29698,PKR,2026-04-11
paid apartment rent,Home & Rent,101193,PKR,2026-05-14
paid maintenance charges online,Home & Rent,60618,PKR,2026-04-17
online shopping today,Shopping,14274,PKR,2026-03-21
bought train ticket yesterday,Travel,143143,PKR,2026-02-03
bought shirt for family,Shopping,18039,PKR,2026-06-25
bought shirt this week,Shopping,22861,PKR,2026-06-30
bought shampoo yesterday,Personal Care,12816,PKR,2026-02-07
paid maintenance charges today,Home & Rent,84229,PKR,2026-01-18
bought perfume online,Personal Care,2139,PKR,2026-02-17
bought prescription medicine today,Healthcare,47949,PKR,2026-01-08
bought vitamins yesterday,Healthcare,20180,PKR,2026-04-24
general expense today,Other,6258,PKR,2026-01-28
paid bus fare,Transportation,12591,PKR,2026-06-06
bought train ticket for family,Travel,149646,PKR,2026-06-06
online shopping today,Shopping,7866,PKR,2026-06-25
restaurant lunch,Food & Groceries,11374,PKR,2026-07-19
paid loan installment for family,Bills & Payments,79760,PKR,2026-05-01
general expense today,Other,12796,PKR,2026-05-06
paid loan installment today,Bills & Payments,25830,PKR,2026-02-27
ordered food,Food & Groceries,4521,PKR,2026-04-16
bought trousers today,Shopping,2467,PKR,2026-02-15
paid service fee yesterday,Bills & Payments,90659,PKR,2026-03-25
paid loan installment yesterday,Bills & Payments,53566,PKR,2026-07-18
pizza for dinner online,Food & Groceries,5226,PKR,2026-04-11
paid hotel bill for family,Travel,141550,PKR,2026-05-15
bought cleaning supplies,Home & Rent,137485,PKR,2026-01-28
paid monthly bill,Bills & Payments,32707,PKR,2026-05-13
visited salon online,Personal Care,843,PKR,2026-05-23
bought concert ticket online,Entertainment,1007,PKR,2026-02-18
paid exam fee yesterday,Education,40418,PKR,2026-07-18
paid exam fee today,Education,55872,PKR,2026-03-17
booked hotel online,Travel,136520,PKR,2026-08-20
changed car oil online,Transportation,7500,PKR,2026-01-24
miscellaneous purchase,Other,5990,PKR,2026-07-19
paid hotel bill for family,Travel,36469,PKR,2026-04-11
paid streaming subscription yesterday,Entertainment,608,PKR,2026-02-15
paid service fee online,Bills & Payments,26967,PKR,2026-08-14
paid credit card bill this week,Bills & Payments,42977,PKR,2026-06-27
bought cleaning supplies today,Home & Rent,33386,PKR,2026-01-24
paid mobile bill yesterday,Utilities,12392,PKR,2026-01-22
bought personal care items yesterday,Personal Care,12109,PKR,2026-07-22
bought perfume today,Personal Care,6404,PKR,2026-05-21
watched a movie today,Entertainment,5691,PKR,2026-05-25
home repair today,Home & Rent,43499,PKR,2026-08-11
paid bus fare online,Transportation,940,PKR,2026-04-18
bought notebooks online,Education,58991,PKR,2026-03-15
paid apartment rent,Home & Rent,35490,PKR,2026-02-21
bought rice,Food & Groceries,7614,PKR,2026-05-08
paid service fee,Bills & Payments,80189,PKR,2026-08-14
paid loan installment today,Bills & Payments,77683,PKR,2026-06-18
paid monthly bill yesterday,Bills & Payments,58417,PKR,2026-01-21
booked bus ticket,Travel,65150,PKR,2026-08-14
bought skincare products for family,Personal Care,10499,PKR,2026-05-23
bought new shoes today,Shopping,5158,PKR,2026-01-15
bought furniture,Home & Rent,39109,PKR,2026-08-07
bought flour this week,Food & Groceries,1536,PKR,2026-01-13
paid internet bill today,Utilities,5786,PKR,2026-06-22
bought stationery yesterday,Education,98716,PKR,2026-05-29
bought medicine,Healthcare,19914,PKR,2026-03-24
bought vitamins,Healthcare,28305,PKR,2026-08-04
